account_id,account_type,holder_name,bank,branch_city,latitude,longitude,kyc_completeness,account_age_days,opened_on,prior_fraud_flag
ACC-071B895276,legit,Simon Tata,Kotak,Jalandhar,31.44017,75.68931,0.85,2458,2019-12-08,False
ACC-D2D793E5E9,legit,Tara Dhar,Axis,Mumbai,19.19197,72.98006,0.77,3411,2017-04-29,False
ACC-BB7ABF97C6,legit,Liam Koshy,Canara,Hyderabad,17.48716,78.6075,0.94,355,2025-09-10,False
ACC-9348003ED1,legit,Priya Rastogi,Canara,Jalandhar,31.33484,75.47505,0.98,2707,2019-04-03,False
ACC-0E0C1E2E4E,legit,Theodore Devi,PNB,Bengaluru,12.9081,77.69526,0.98,1738,2021-11-27,False
ACC-19A3798E9A,legit,Gavin Batta,BoB,Jalandhar,31.38814,75.49543,1.0,1281,2023-02-27,False
ACC-881DE7EA23,legit,Michael Dutta,HDFC,Ahmedabad,22.98829,72.6794,0.77,1854,2021-08-03,False
ACC-8F71C06043,legit,Devansh Rajan,Union Bank,Mumbai,19.03224,72.90157,0.77,947,2024-01-27,False
ACC-49E8CB1413,legit,Upadhriti Wadhwa,SBI,Mumbai,19.13217,72.75848,0.96,281,2025-11-23,False
ACC-3F63039D0D,legit,Advay Contractor,PNB,Mumbai,19.07983,72.81783,0.86,1993,2021-03-17,False
ACC-5DAE621EB3,legit,Harini Choudhury,PNB,Chennai,13.20041,80.2899,0.94,1941,2021-05-08,False
ACC-CFE43AA132,legit,Radhika Dugar,BoB,Jalandhar,31.30088,75.46656,0.81,2704,2019-04-06,False
ACC-63C5769D16,legit,Aarush Lall,HDFC,Patna,25.58519,85.19951,0.72,2763,2019-02-06,False
ACC-F69EFF6313,legit,Yashica Cherian,PNB,Chennai,13.03927,80.36845,0.76,1023,2023-11-12,False
ACC-27D28B0244,legit,Yashica Issac,PNB,Ranchi,23.24685,85.22406,0.96,1899,2021-06-19,False
ACC-B6B4387074,legit,Kashvi Edwin,HDFC,Mumbai,19.06063,72.97536,0.72,2259,2020-06-24,False
ACC-64133B7277,legit,Ekiya Suresh,PNB,Guwahati,26.23532,91.86296,0.75,3091,2018-03-15,False
ACC-162408A040,legit,Isaac Patil,ICICI,Ranchi,23.33906,85.40815,0.81,245,2025-12-29,False
ACC-0EF6EF4616,legit,Wriddhish Bhardwaj,Axis,Patna,25.53064,85.21438,0.83,1868,2021-07-20,False
ACC-546990EA97,legit,Farhan Chada,Canara,Chennai,13.2166,80.28577,0.75,2947,2018-08-06,False
ACC-7065A81A34,legit,Ekapad Walia,IndusInd,Jaipur,26.8361,75.66797,0.72,3018,2018-05-27,False
ACC-FAAF574CBF,legit,Kabir Soman,IndusInd,Lucknow,26.72701,80.96895,0.75,2064,2021-01-05,False
ACC-A07F3210D3,legit,Alka Wable,HDFC,Guwahati,26.03102,91.65129,0.9,2442,2019-12-24,False
ACC-2D88C0440D,legit,Siddharth Zacharia,PNB,Hyderabad,17.35899,78.60605,0.87,2338,2020-04-06,False
ACC-8EB3CAD19A,legit,Devika Rastogi,Union Bank,Delhi,28.64617,77.18717,0.86,2395,2020-02-09,False
ACC-DB4F4EEE3B,legit,Raksha Varughese,PNB,Nagpur,21.08114,79.13407,0.78,1291,2023-02-17,False
ACC-AA7A8B94C0,legit,Jai Kota,HDFC,Bengaluru,13.018,77.54055,0.7,1300,2023-02-08,False
ACC-2D4BA286B8,legit,Devansh Nigam,IndusInd,Kolkata,22.70732,88.49798,0.76,305,2025-10-30,False
ACC-46ACE32C69,legit,Victor Kannan,PNB,Jaipur,26.81306,75.74649,0.81,286,2025-11-18,False
ACC-9A82A8F408,legit,Ekavir Bhargava,Union Bank,Bengaluru,12.95489,77.60628,1.0,1244,2023-04-05,False
ACC-4B2C067387,legit,Ekansh Balay,IndusInd,Jalandhar,31.36762,75.44318,0.79,3351,2017-06-28,False
ACC-78508EE723,legit,Ekavir Varkey,HDFC,Ahmedabad,22.91536,72.6736,0.97,1088,2023-09-08,False
ACC-39DF57796E,legit,Arya Sunder,PNB,Chennai,13.09708,80.20917,0.92,2482,2019-11-14,False
ACC-9FEDF3D99B,legit,Kevin Solanki,Canara,Hyderabad,17.43567,78.58208,0.78,2075,2020-12-25,False
ACC-586C2C4507,legit,Urvashi Ray,Axis,Nagpur,21.23934,78.97801,0.71,1739,2021-11-26,False
ACC-FBE8498AA0,legit,Girindra Chatterjee,ICICI,Lucknow,26.91998,80.98326,0.92,1077,2023-09-19,False
ACC-259A629A07,legit,Irya Sampath,HDFC,Guwahati,26.20009,91.75266,0.98,463,2025-05-25,False
ACC-12DEBE4D7D,legit,Unni Bhagat,Kotak,Chennai,13.19187,80.28302,0.87,3423,2017-04-17,False
ACC-C741D6977A,legit,Darsh Rau,SBI,Bengaluru,12.95262,77.47077,0.97,1498,2022-07-25,False
ACC-9A72BC781A,legit,Ikbal Kothari,IndusInd,Hyderabad,17.43421,78.53182,0.97,1453,2022-09-08,False
ACC-4A9DCACDDC,legit,Ranveer Yadav,ICICI,Patna,25.72216,85.20503,0.99,974,2023-12-31,False
ACC-2491C47775,legit,Logan Sami,Kotak,Jalandhar,31.23872,75.5525,0.93,739,2024-08-22,False
ACC-25C9887F3A,legit,Arya Shere,PNB,Patna,25.67579,85.236,0.78,3325,2017-07-24,False
ACC-6082943E35,legit,Faqid Savant,Canara,Jalandhar,31.3804,75.54445,0.77,163,2026-03-21,False
ACC-6EB684699B,legit,Chandresh Zachariah,PNB,Bhopal,23.373,77.37197,0.77,3365,2017-06-14,False
ACC-159EC4E2F6,legit,Girik Khalsa,HDFC,Ahmedabad,22.93956,72.52498,0.99,3545,2016-12-16,False
ACC-499D1565B6,legit,Niharika Sunder,IndusInd,Jaipur,26.87217,75.78984,0.8,2788,2019-01-12,False
ACC-D0AE8D3A4E,legit,Tanay Rattan,Union Bank,Delhi,28.50994,77.33614,0.99,736,2024-08-25,False
ACC-E515F4F75D,legit,Nitesh Raghavan,Kotak,Jaipur,26.7876,75.8134,0.83,1420,2022-10-11,False
ACC-EDB7761749,legit,Madhavi Lanka,Axis,Guwahati,26.04062,91.84417,0.71,783,2024-07-09,False
ACC-B1F5E6D0A8,legit,Bhavika Sampath,PNB,Patna,25.45942,85.25262,0.81,2210,2020-08-12,False
ACC-73A7274BCF,legit,Mohammed Gupta,Kotak,Mumbai,19.19732,72.99142,0.9,2557,2019-08-31,False
ACC-8B890E7E9D,legit,Teerth Bhardwaj,BoB,Mumbai,19.13539,72.82373,0.8,1271,2023-03-09,False
ACC-9D9CEED106,legit,Dipta Bhandari,BoB,Chennai,13.02747,80.16997,0.9,1727,2021-12-08,False
ACC-DCE8AEC782,legit,Vansha Thakkar,IndusInd,Nagpur,21.0577,79.10688,0.95,1668,2022-02-05,False
ACC-21E3AE70D3,legit,Dakshesh Trivedi,Union Bank,Jaipur,26.85481,75.76835,0.9,2380,2020-02-24,False
ACC-2999994AFC,legit,Quincy Biswas,Canara,Ranchi,23.32837,85.35707,0.94,2098,2020-12-02,False
ACC-C3576ECEFE,legit,Wahab Raval,IndusInd,Jalandhar,31.38977,75.61913,0.9,1167,2023-06-21,False
ACC-AA6D5EBBA7,legit,Yatin Baral,PNB,Kolkata,22.52806,88.44996,0.9,3081,2018-03-25,False
ACC-824E2F1D98,legit,Oni Virk,PNB,Hyderabad,17.46785,78.39139,1.0,194,2026-02-18,False
ACC-1F0F3CBE01,legit,Advika Jayaraman,Union Bank,Kolkata,22.66712,88.24845,0.76,1702,2022-01-02,False
ACC-24E98BF3A4,legit,William Lanka,SBI,Chennai,13.05134,80.24358,0.97,609,2024-12-30,False
ACC-3C0BFA4E3C,legit,Karan Mital,PNB,Bhopal,23.33289,77.30627,0.75,1746,2021-11-19,False
ACC-AC6E983ECA,legit,Diya Bora,HDFC,Chennai,13.08755,80.14914,0.84,1025,2023-11-10,False
ACC-BA384602AA,legit,Tara Chaudhry,Union Bank,Jalandhar,31.31644,75.58461,0.8,2294,2020-05-20,False
ACC-20C002644B,legit,Tanay Toor,IndusInd,Jalandhar,31.43179,75.60665,0.83,2951,2018-08-02,False
ACC-E5FF32B83D,legit,Kevin Palla,Canara,Nagpur,21.15874,79.19555,0.84,3051,2018-04-24,False
ACC-52E3C5EE3A,legit,Yash Pingle,IndusInd,Jalandhar,31.25769,75.61341,0.85,3141,2018-01-24,False
ACC-4AC34A3CF5,legit,Nakul Sarma,PNB,Hyderabad,17.32408,78.37251,0.78,1175,2023-06-13,False
ACC-0309D08B25,legit,Abhiram Mistry,PNB,Lucknow,26.95292,80.83284,0.81,622,2024-12-17,False
ACC-C5A4F93DE5,legit,Krish Lalla,Kotak,Bengaluru,13.02739,77.47682,0.86,1674,2022-01-30,False
ACC-7803864F0D,legit,Hredhaan Dugal,Union Bank,Patna,25.47579,85.22757,0.98,1600,2022-04-14,False
ACC-C9091D07F2,legit,Baghyawati Kade,Canara,Delhi,28.71031,77.28078,0.7,1563,2022-05-21,False
ACC-87A5064991,legit,Samar Lalla,BoB,Lucknow,26.79227,80.91647,0.86,3428,2017-04-12,False
ACC-C2AEE47C4B,legit,Zayan Behl,Canara,Chennai,13.09517,80.29861,0.77,908,2024-03-06,False
ACC-3C019EF409,legit,Pallavi Malhotra,BoB,Patna,25.59022,85.10756,0.92,2744,2019-02-25,False
ACC-9FC0AFB708,legit,Aarush Nath,IndusInd,Bhopal,23.25109,77.31196,0.71,2553,2019-09-04,False
ACC-202632C916,legit,Adweta Edwin,BoB,Patna,25.61894,85.18165,0.74,348,2025-09-17,False
ACC-A1F6C1B59A,legit,Prisha Andra,PNB,Ranchi,23.25808,85.24478,0.84,1345,2022-12-25,False
ACC-B314ABEA6F,legit,Faqid Dixit,BoB,Lucknow,26.9173,80.91353,0.78,3085,2018-03-21,False
ACC-25F4E87B68,legit,Kala Divan,Kotak,Mumbai,19.06797,72.945,0.77,218,2026-01-25,False
ACC-1FAEE737D8,legit,Joshua Barman,SBI,Mumbai,19.15201,72.91871,0.98,3094,2018-03-12,False
ACC-0A1B1B5164,legit,Janya Baral,ICICI,Hyderabad,17.47668,78.51949,0.84,982,2023-12-23,False
ACC-218D531755,legit,Shivansh Krish,Axis,Mumbai,19.09329,72.80147,0.93,2870,2018-10-22,False
ACC-C89F6DD400,legit,Irya Ray,HDFC,Bengaluru,13.00022,77.71993,0.93,2947,2018-08-06,False
ACC-64AB233688,legit,Warjas Gaba,Axis,Bengaluru,13.0972,77.48868,0.87,110,2026-05-13,False
ACC-C7640E1436,legit,Nitara Bakshi,PNB,Nagpur,21.26963,79.06027,0.72,2933,2018-08-20,False
ACC-3902FA8D9F,legit,Gaurangi Sabharwal,Axis,Chennai,13.17204,80.2012,0.96,2860,2018-11-01,False
ACC-40C97E39E2,legit,Amara Dutta,SBI,Kolkata,22.65518,88.44396,0.8,2323,2020-04-21,False
ACC-790F45837C,legit,Lavanya Barad,Kotak,Patna,25.63775,85.0211,0.7,2657,2019-05-23,False
ACC-AA2B7C2290,legit,Tristan Iyengar,Canara,Patna,25.68122,85.03099,0.91,1488,2022-08-04,False
ACC-4D95CE3389,legit,Inaya Mody,Axis,Patna,25.50657,85.14348,0.88,2669,2019-05-11,False
ACC-2E794F15F7,legit,Udant Bajwa,Union Bank,Nagpur,21.15612,79.08374,0.78,1789,2021-10-07,False
ACC-DC9B5ECFC2,legit,Mohini Narasimhan,Canara,Bhopal,23.19111,77.53007,0.77,1147,2023-07-11,False
ACC-1A158E2B39,legit,Ekaraj Mallick,SBI,Ranchi,23.36298,85.35506,0.85,1382,2022-11-18,False
ACC-41740025DD,legit,Yashodhara Ratta,Axis,Lucknow,26.76071,80.86839,0.8,3272,2017-09-15,False
ACC-01D44AE2F0,legit,Ayaan D’Alia,SBI,Nagpur,21.17179,79.19093,0.85,2281,2020-06-02,False
ACC-3254A1CA4E,legit,Pranav Lanka,IndusInd,Hyderabad,17.273,78.54618,0.93,2006,2021-03-04,False
ACC-3A9523F661,legit,Ikbal Saraf,SBI,Chennai,13.07624,80.32795,0.73,1840,2021-08-17,False
ACC-90CBA5197E,legit,Dipta Sarin,Union Bank,Hyderabad,17.35916,78.41732,0.81,2724,2019-03-17,False
ACC-1CEC7DB577,legit,Lekha Gupta,IndusInd,Guwahati,26.15286,91.71607,0.8,3060,2018-04-15,False
ACC-F7241A5691,legit,Chaitanya Sarin,HDFC,Chennai,13.0702,80.21844,0.92,949,2024-01-25,False
ACC-BFF43FCEEC,legit,Zinal Yohannan,ICICI,Lucknow,26.74388,80.95589,0.76,3126,2018-02-08,False
ACC-F1A6C1EA09,legit,Januja Sankar,IndusInd,Chennai,13.07843,80.3314,0.88,3118,2018-02-16,False
ACC-75F2FA030F,legit,Ganga Murthy,ICICI,Mumbai,19.1659,72.82263,0.79,1483,2022-08-09,False
ACC-EF4C528854,legit,Charita Tripathi,IndusInd,Chennai,13.09193,80.2097,0.79,228,2026-01-15,False
ACC-1C50ED9C49,legit,Nilima Narain,SBI,Bengaluru,13.00886,77.66292,0.87,425,2025-07-02,False
ACC-ADDBD37CDA,legit,Chakrika Datta,Axis,Ranchi,23.33835,85.26655,0.98,215,2026-01-28,False
ACC-D6669E7AAC,legit,Osha Raghavan,HDFC,Ranchi,23.2398,85.19213,0.87,2019,2021-02-19,False
ACC-21D44CE318,legit,Charvi Ravi,Axis,Ahmedabad,22.90185,72.47659,0.73,2310,2020-05-04,False
ACC-BE9AE46CD4,legit,Daksha Mangat,Union Bank,Hyderabad,17.28188,78.55817,0.94,2488,2019-11-08,False
ACC-933DCCC0E8,legit,Qushi Nagy,Axis,Hyderabad,17.45951,78.45437,0.96,1818,2021-09-08,False
ACC-839BC026ED,legit,Riya Sathe,HDFC,Patna,25.5415,85.17031,0.98,2502,2019-10-25,False
ACC-C37F861391,legit,Yasti Solanki,ICICI,Hyderabad,17.41892,78.42309,0.77,337,2025-09-28,False
ACC-8F943FF21B,legit,Frado Mander,Union Bank,Guwahati,26.02965,91.60179,0.84,1850,2021-08-07,False
ACC-D4A942971A,legit,Girik Keer,Canara,Delhi,28.54133,77.26493,0.72,2884,2018-10-08,False
ACC-A0826D22AE,legit,Umang Issac,Union Bank,Hyderabad,17.49957,78.56449,0.9,2565,2019-08-23,False
ACC-BF52E5A85B,legit,Aryan Batra,ICICI,Nagpur,21.06413,78.98409,0.97,925,2024-02-18,False
ACC-47E287D902,legit,Vaishnavi Bora,Axis,Bhopal,23.16321,77.29358,0.88,3251,2017-10-06,False
ACC-FB8C719E6E,legit,Oeshi Hayer,Canara,Bhopal,23.2786,77.35547,0.91,514,2025-04-04,False
ACC-7F97DE3607,legit,Warda Ratta,Canara,Chennai,13.05635,80.20914,0.83,2216,2020-08-06,False
ACC-1BE237EF1F,legit,Manbir Ahluwalia,Union Bank,Kolkata,22.44824,88.34553,0.78,1325,2023-01-14,False
ACC-6E9CCAA402,legit,Pavani Kanda,Union Bank,Mumbai,19.00274,72.92481,0.88,3529,2017-01-01,False
ACC-D4B88C7671,legit,Zarna Shetty,Union Bank,Delhi,28.74892,77.25556,0.71,1108,2023-08-19,False
ACC-898942215E,legit,Zaid Dara,Axis,Jalandhar,31.23821,75.58133,0.75,1816,2021-09-10,False
ACC-0633630EE6,legit,Kiaan Shetty,Canara,Kolkata,22.55527,88.44883,0.8,378,2025-08-18,False
ACC-637F34A9D9,legit,Saanvi Thaman,Kotak,Lucknow,26.79834,80.83934,0.82,663,2024-11-06,False
ACC-D7879A2627,legit,Sanaya Dutt,IndusInd,Ranchi,23.28686,85.42992,0.71,3337,2017-07-12,False
ACC-E7014E27E0,legit,Shivani Lad,BoB,Mumbai,19.02587,72.82994,0.96,3169,2017-12-27,False
ACC-EDF8AEA14D,legit,Aradhana Verma,Canara,Bhopal,23.39182,77.45521,0.82,2227,2020-07-26,False
ACC-B2E0AC9287,legit,William Maharaj,Canara,Hyderabad,17.38998,78.51984,0.93,2046,2021-01-23,False
ACC-97177103D0,legit,Faras Mangal,Canara,Hyderabad,17.32204,78.38697,0.96,1184,2023-06-04,False
ACC-C35B9127FF,legit,Anita Nayak,PNB,Ranchi,23.24178,85.43748,0.91,2498,2019-10-29,False
ACC-C2CBD0C8EC,legit,Faris Devi,PNB,Jaipur,26.92614,75.80142,1.0,386,2025-08-10,False
ACC-D0A2372515,legit,Vihaan Rajagopal,ICICI,Nagpur,21.04133,79.20903,0.85,2658,2019-05-22,False
ACC-AD385E3FB0,legit,Tanish Bhatt,Canara,Chennai,13.02645,80.32622,0.99,1706,2021-12-29,False
ACC-7B2CEDF0C2,legit,Nikita Narayanan,Union Bank,Hyderabad,17.37332,78.39066,0.85,785,2024-07-07,False
ACC-3E8F3ABF9C,legit,Ojasvi Bhatia,BoB,Nagpur,21.04756,78.97193,0.8,3169,2017-12-27,False
ACC-B893CD7F4B,legit,Osha Ramachandran,Axis,Jalandhar,31.32809,75.66283,0.95,1163,2023-06-25,False
ACC-7302298273,legit,Lajita Sood,Canara,Kolkata,22.70744,88.3611,0.86,613,2024-12-26,False
ACC-3C9806DF8A,legit,Indira Misra,Canara,Lucknow,26.80141,81.01725,0.98,1550,2022-06-03,False
ACC-66D7D5D3CA,legit,Oni Yohannan,BoB,Bhopal,23.17575,77.46598,0.77,2347,2020-03-28,False
ACC-7514A16381,legit,Vinaya Kanda,BoB,Jalandhar,31.30189,75.52706,0.82,1942,2021-05-07,False
ACC-38E209123A,legit,Rajata Sunder,Canara,Ahmedabad,23.10153,72.61249,0.99,628,2024-12-11,False
ACC-3EF22AE255,legit,Lopa Nayar,HDFC,Bengaluru,12.97222,77.61897,0.96,3567,2016-11-24,False
ACC-699468409A,legit,Noah Sibal,ICICI,Ranchi,23.23591,85.42053,0.82,67,2026-06-25,False
ACC-721930AB12,legit,Avi Ramesh,Axis,Ahmedabad,23.14952,72.45649,0.8,3206,2017-11-20,False
ACC-DF69D91010,legit,Fiyaz Sangha,IndusInd,Chennai,13.05499,80.15727,0.81,1350,2022-12-20,False
ACC-130E527A8D,legit,Triya Gopal,IndusInd,Lucknow,26.88097,81.05091,0.71,2003,2021-03-07,False
ACC-2E36E5F8A4,legit,Abha Raghavan,PNB,Mumbai,19.00432,72.92754,0.92,1182,2023-06-06,False
ACC-296A1F7971,legit,Siddharth Sha,HDFC,Patna,25.72338,85.20797,0.83,2888,2018-10-04,False
ACC-CCEA09B822,legit,Geetika Raghavan,SBI,Chennai,13.0285,80.14339,0.79,1333,2023-01-06,False
ACC-1672980D7E,legit,Oviya Krishnan,Union Bank,Lucknow,26.82797,80.87706,0.9,1692,2022-01-12,False
ACC-38AC7EBCEF,legit,Upma Bahl,BoB,Bengaluru,12.88241,77.48081,0.89,3571,2016-11-20,False
ACC-9F3F8647A9,legit,Inaya Kapur,Canara,Hyderabad,17.38437,78.50917,0.89,956,2024-01-18,False
ACC-7A16E4EF27,legit,Banjeet Balasubramanian,Canara,Ranchi,23.27797,85.177,0.97,3300,2017-08-18,False
ACC-DD605CC508,legit,Ryan Bahri,Union Bank,Ahmedabad,23.03509,72.45623,0.79,1420,2022-10-11,False
ACC-11553C3108,legit,William Date,PNB,Patna,25.64554,85.12593,1.0,1242,2023-04-07,False
ACC-FE98868FCE,legit,Ishwar Kamdar,Kotak,Bhopal,23.25536,77.34157,0.87,2347,2020-03-28,False
ACC-C4F1C92E12,legit,Aahana Pillay,BoB,Chennai,13.02736,80.39987,0.78,2701,2019-04-09,False
ACC-40FD962921,legit,Ishwar Gade,Union Bank,Kolkata,22.67127,88.43912,0.92,205,2026-02-07,False
ACC-9D9CAA235E,legit,Hritik Bal,PNB,Bhopal,23.36913,77.35481,0.88,3277,2017-09-10,False
ACC-62C2B0875E,legit,Keya Ranganathan,ICICI,Lucknow,26.77076,80.86245,0.89,1031,2023-11-04,False
ACC-2B11DEC838,legit,Faqid Kibe,Canara,Nagpur,21.18025,78.96372,0.71,3235,2017-10-22,False
ACC-7611E6EE5E,legit,Charvi Dara,Kotak,Lucknow,26.9095,80.83543,0.92,1213,2023-05-06,False
ACC-814BB3CD63,legit,Idika Walia,Kotak,Bengaluru,12.89073,77.67204,0.86,3594,2016-10-28,False
ACC-F92FBF16A2,legit,Kamala Biswas,Canara,Nagpur,21.08432,78.99754,0.99,3382,2017-05-28,False
ACC-7ADF18BB0F,legit,Advik Salvi,Canara,Jaipur,26.97904,75.74371,0.99,476,2025-05-12,False
ACC-336CDB3E2E,legit,Hitesh Sant,BoB,Bengaluru,13.04029,77.52044,0.99,2775,2019-01-25,False
ACC-28D29824EF,legit,Tripti Dua,SBI,Jalandhar,31.34149,75.46547,0.78,1621,2022-03-24,False
ACC-1FAB4FE7F5,legit,Patrick Vig,Axis,Mumbai,19.06378,72.92441,0.88,2758,2019-02-11,False
ACC-C6FBBC5DC0,legit,Veda Shroff,PNB,Bhopal,23.29735,77.37786,0.84,2769,2019-01-31,False
ACC-916753B14F,legit,Amrita Naidu,PNB,Kolkata,22.67645,88.3805,0.89,2503,2019-10-24,False
ACC-E7FA384148,legit,Gabriel Mallick,BoB,Ahmedabad,23.11003,72.68205,0.74,1242,2023-04-07,False
ACC-AA2A409CCB,legit,Yagnesh Shetty,HDFC,Delhi,28.73451,77.15613,0.73,2022,2021-02-16,False
ACC-6AE4386F7B,legit,Gayathri Balakrishnan,IndusInd,Nagpur,21.15595,79.0581,0.83,1524,2022-06-29,False
ACC-F0B35E74EA,legit,Ekta Gopal,HDFC,Chennai,13.14394,80.37487,0.95,2687,2019-04-23,False
ACC-B739AC709B,legit,Simon Pant,Kotak,Kolkata,22.54777,88.48593,0.77,139,2026-04-14,False
ACC-D03850541F,legit,Harini Mammen,Kotak,Ranchi,23.46587,85.40567,0.86,411,2025-07-16,False
ACC-2FFF4B263F,legit,Advaith Varughese,HDFC,Ahmedabad,22.9843,72.54387,0.98,782,2024-07-10,False
ACC-B0ADCF0EF4,legit,Frederick Khurana,Union Bank,Bhopal,23.24766,77.45659,0.99,2633,2019-06-16,False
ACC-2615FB9091,legit,Vrinda Khosla,Union Bank,Delhi,28.69141,77.13969,0.76,520,2025-03-29,False
ACC-866F9BCA0B,legit,Vritti Sem,PNB,Bhopal,23.33156,77.33345,0.8,889,2024-03-25,False
ACC-CBD640205D,legit,Girik Menon,ICICI,Bengaluru,13.04961,77.62054,1.0,1140,2023-07-18,False
ACC-DD90926B70,legit,Nidhi Kohli,SBI,Guwahati,26.07711,91.64823,0.74,2712,2019-03-29,False
ACC-CCEC58F489,legit,Jyoti Solanki,SBI,Lucknow,26.92507,80.87537,0.75,1331,2023-01-08,False
ACC-0EBA265950,legit,Pavani Narayanan,HDFC,Delhi,28.51302,77.18764,0.84,470,2025-05-18,False
ACC-CB4AD17DFE,legit,Sudiksha Madan,IndusInd,Jalandhar,31.28871,75.60152,0.77,1856,2021-08-01,False
ACC-2772396B1A,legit,Zayan Kashyap,IndusInd,Kolkata,22.44919,88.44045,0.79,3556,2016-12-05,False
ACC-AEE8AC8B42,legit,Reyansh Mutti,BoB,Ahmedabad,23.14791,72.4527,0.83,1966,2021-04-13,False
ACC-E273084685,legit,Qasim Handa,HDFC,Mumbai,19.07337,72.98843,0.8,306,2025-10-29,False
ACC-B684F395A0,legit,Veda Malhotra,Union Bank,Bengaluru,12.85422,77.53379,0.86,2598,2019-07-21,False
ACC-0BE5BCC8A0,legit,Harish Hari,Canara,Lucknow,26.81451,80.97252,0.85,1212,2023-05-07,False
ACC-2B5F825F48,legit,Utkarsh Patel,IndusInd,Patna,25.48577,85.19213,0.92,3498,2017-02-01,False
ACC-BD9438B62E,legit,Chasmum Atwal,Kotak,Hyderabad,17.3661,78.59159,0.95,1699,2022-01-05,False
ACC-ACDADA8CEB,legit,Anusha Bath,Kotak,Patna,25.57139,85.02816,0.9,1753,2021-11-12,False
ACC-F7E5116AF5,legit,Brinda Date,HDFC,Lucknow,26.96929,80.99669,0.73,1947,2021-05-02,False
ACC-14300691C9,legit,Harshil Arora,Kotak,Mumbai,18.96606,72.76866,0.94,3031,2018-05-14,False
ACC-B7823C27D8,legit,Upasna Srinivas,Kotak,Guwahati,26.02558,91.85961,0.9,2305,2020-05-09,False
ACC-15113E5F76,legit,Harini Gour,BoB,Patna,25.55453,85.18229,0.96,3078,2018-03-28,False
ACC-B8E1238B67,legit,Zayyan Sridhar,Kotak,Chennai,12.96147,80.2133,0.73,1284,2023-02-24,False
ACC-420FED7829,legit,Dhruv Rattan,HDFC,Guwahati,26.06686,91.77856,0.81,923,2024-02-20,False
ACC-B79CF1E2E6,legit,Ethan Bera,PNB,Guwahati,26.10871,91.80717,0.94,2356,2020-03-19,False
